Nsnp,Nsnpeff,Ngenes,effsize,power,nrun,cluster,nsub,PhenoCorr
20,0,1,0.1,0.02,100,0,100,0
20,5,1,0.1,0.27,100,0,100,0
20,10,1,0.1,0.44,100,0,100,0
40,0,1,0.1,0.06,100,0,100,0
40,5,1,0.1,0.12,100,0,100,0
40,10,1,0.1,0.27,100,0,100,0
20,0,1,0.2,0.03,100,0,100,0
20,5,1,0.2,0.99,100,0,100,0
20,10,1,0.2,0.99,100,0,100,0
40,0,1,0.2,0.01,100,0,100,0
40,5,1,0.2,0.64,100,0,100,0
40,10,1,0.2,0.99,100,0,100,0
20,0,1,0.4,0.04,100,0,100,0
20,5,1,0.4,1,100,0,100,0
20,10,1,0.4,1,100,0,100,0
40,0,1,0.4,0.05,100,0,100,0
40,5,1,0.4,1,100,0,100,0
40,10,1,0.4,1,100,0,100,0
20,0,1,0.1,0.06,100,0,100,0.5
20,5,1,0.1,0.18,100,0,100,0.5
20,10,1,0.1,0.28,100,0,100,0.5
40,0,1,0.1,0.05,100,0,100,0.5
40,5,1,0.1,0.05,100,0,100,0.5
40,10,1,0.1,0.16,100,0,100,0.5
20,0,1,0.2,0.07,100,0,100,0.5
20,5,1,0.2,0.89,100,0,100,0.5
20,10,1,0.2,1,100,0,100,0.5
40,0,1,0.2,0.07,100,0,100,0.5
40,5,1,0.2,0.54,100,0,100,0.5
40,10,1,0.2,0.9,100,0,100,0.5
20,0,1,0.4,0.05,100,0,100,0.5
20,5,1,0.4,1,100,0,100,0.5
20,10,1,0.4,1,100,0,100,0.5
40,0,1,0.4,0.07,100,0,100,0.5
40,5,1,0.4,1,100,0,100,0.5
40,10,1,0.4,1,100,0,100,0.5
20,0,1,0.1,0.03,100,0,100,0.75
20,5,1,0.1,0.11,100,0,100,0.75
20,10,1,0.1,0.21,100,0,100,0.75
40,0,1,0.1,0.07,100,0,100,0.75
40,5,1,0.1,0.06,100,0,100,0.75
40,10,1,0.1,0.08,100,0,100,0.75
20,0,1,0.2,0.07,100,0,100,0.75
20,5,1,0.2,0.51,100,0,100,0.75
20,10,1,0.2,0.91,100,0,100,0.75
40,0,1,0.2,0.05,100,0,100,0.75
40,5,1,0.2,0.59,100,0,100,0.75
40,10,1,0.2,0.78,100,0,100,0.75
20,0,1,0.4,0.04,100,0,100,0.75
20,5,1,0.4,1,100,0,100,0.75
20,10,1,0.4,1,100,0,100,0.75
40,0,1,0.4,0.05,100,0,100,0.75
40,5,1,0.4,1,100,0,100,0.75
40,10,1,0.4,1,100,0,100,0.75