Nsnp,Nsnpeff,Ngenes,effsize,power,nrun,cluster,nsub,LD,PhenoCorr
20,0,1,0.1,0.08,100,0,100,0.2,0
20,5,1,0.1,0.22,100,0,100,0.2,0
20,10,1,0.1,0.33,100,0,100,0.2,0
40,0,1,0.1,0.05,100,0,100,0.2,0
40,5,1,0.1,0.14,100,0,100,0.2,0
40,10,1,0.1,0.31,100,0,100,0.2,0
20,0,1,0.2,0.02,100,0,100,0.2,0
20,5,1,0.2,0.99,100,0,100,0.2,0
20,10,1,0.2,1,100,0,100,0.2,0
40,0,1,0.2,0.03,100,0,100,0.2,0
40,5,1,0.2,0.93,100,0,100,0.2,0
40,10,1,0.2,1,100,0,100,0.2,0
20,0,1,0.4,0.08,100,0,100,0.2,0
20,5,1,0.4,1,100,0,100,0.2,0
20,10,1,0.4,1,100,0,100,0.2,0
40,0,1,0.4,0.07,100,0,100,0.2,0
40,5,1,0.4,1,100,0,100,0.2,0
40,10,1,0.4,1,100,0,100,0.2,0
20,0,1,0.1,0.06,100,0,100,0.3,0
20,5,1,0.1,0.28,100,0,100,0.3,0
20,10,1,0.1,0.38,100,0,100,0.3,0
40,0,1,0.1,0.04,100,0,100,0.3,0
40,5,1,0.1,0.21,100,0,100,0.3,0
40,10,1,0.1,0.35,100,0,100,0.3,0
20,0,1,0.2,0.03,100,0,100,0.3,0
20,5,1,0.2,1,100,0,100,0.3,0
20,10,1,0.2,1,100,0,100,0.3,0
40,0,1,0.2,0.05,100,0,100,0.3,0
40,5,1,0.2,0.99,100,0,100,0.3,0
40,10,1,0.2,1,100,0,100,0.3,0
20,0,1,0.4,0.04,100,0,100,0.3,0
20,5,1,0.4,1,100,0,100,0.3,0
20,10,1,0.4,1,100,0,100,0.3,0
40,0,1,0.4,0.09,100,0,100,0.3,0
40,5,1,0.4,1,100,0,100,0.3,0
40,10,1,0.4,1,100,0,100,0.3,0
20,0,1,0.1,0.05,100,0,100,0.2,0.5
20,5,1,0.1,0.09,100,0,100,0.2,0.5
20,10,1,0.1,0.19,100,0,100,0.2,0.5
40,0,1,0.1,0.06,100,0,100,0.2,0.5
40,5,1,0.1,0.09,100,0,100,0.2,0.5
40,10,1,0.1,0.09,100,0,100,0.2,0.5
20,0,1,0.2,0.03,100,0,100,0.2,0.5
20,5,1,0.2,0.64,100,0,100,0.2,0.5
20,10,1,0.2,0.95,100,0,100,0.2,0.5
40,0,1,0.2,0.03,100,0,100,0.2,0.5
40,5,1,0.2,0.42,100,0,100,0.2,0.5
40,10,1,0.2,0.89,100,0,100,0.2,0.5
20,0,1,0.4,0.01,100,0,100,0.2,0.5
20,5,1,0.4,1,100,0,100,0.2,0.5
20,10,1,0.4,1,100,0,100,0.2,0.5
40,0,1,0.4,0.04,100,0,100,0.2,0.5
40,5,1,0.4,1,100,0,100,0.2,0.5
40,10,1,0.4,1,100,0,100,0.2,0.5
20,0,1,0.1,0.06,100,0,100,0.3,0.5
20,5,1,0.1,0.16,100,0,100,0.3,0.5
20,10,1,0.1,0.16,100,0,100,0.3,0.5
40,0,1,0.1,0.03,100,0,100,0.3,0.5
40,5,1,0.1,0.08,100,0,100,0.3,0.5
40,10,1,0.1,0.14,100,0,100,0.3,0.5
20,0,1,0.2,0.04,100,0,100,0.3,0.5
20,5,1,0.2,0.59,100,0,100,0.3,0.5
20,10,1,0.2,0.92,100,0,100,0.3,0.5
40,0,1,0.2,0.03,100,0,100,0.3,0.5
40,5,1,0.2,0.45,100,0,100,0.3,0.5
40,10,1,0.2,0.97,100,0,100,0.3,0.5
20,0,1,0.4,0.04,100,0,100,0.3,0.5
20,5,1,0.4,1,100,0,100,0.3,0.5
20,10,1,0.4,1,100,0,100,0.3,0.5
40,0,1,0.4,0.05,100,0,100,0.3,0.5
40,5,1,0.4,1,100,0,100,0.3,0.5
40,10,1,0.4,1,100,0,100,0.3,0.5
20,0,1,0.1,0.1,100,0,100,0.2,0.75
20,5,1,0.1,0.1,100,0,100,0.2,0.75
20,10,1,0.1,0.1,100,0,100,0.2,0.75
40,0,1,0.1,0.03,100,0,100,0.2,0.75
40,5,1,0.1,0.11,100,0,100,0.2,0.75
40,10,1,0.1,0.14,100,0,100,0.2,0.75
20,0,1,0.2,0.04,100,0,100,0.2,0.75
20,5,1,0.2,0.45,100,0,100,0.2,0.75
20,10,1,0.2,0.79,100,0,100,0.2,0.75
40,0,1,0.2,0.04,100,0,100,0.2,0.75
40,5,1,0.2,0.35,100,0,100,0.2,0.75
40,10,1,0.2,0.74,100,0,100,0.2,0.75
20,0,1,0.4,0.03,100,0,100,0.2,0.75
20,5,1,0.4,1,100,0,100,0.2,0.75
20,10,1,0.4,1,100,0,100,0.2,0.75
40,0,1,0.4,0.04,100,0,100,0.2,0.75
40,5,1,0.4,1,100,0,100,0.2,0.75
40,10,1,0.4,1,100,0,100,0.2,0.75
20,0,1,0.1,0.07,100,0,100,0.3,0.75
20,5,1,0.1,0.07,100,0,100,0.3,0.75
20,10,1,0.1,0.08,100,0,100,0.3,0.75
40,0,1,0.1,0.06,100,0,100,0.3,0.75
40,5,1,0.1,0.05,100,0,100,0.3,0.75
40,10,1,0.1,0.15,100,0,100,0.3,0.75
20,0,1,0.2,0.04,100,0,100,0.3,0.75
20,5,1,0.2,0.59,100,0,100,0.3,0.75
20,10,1,0.2,0.88,100,0,100,0.3,0.75
40,0,1,0.2,0.07,100,0,100,0.3,0.75
40,5,1,0.2,0.39,100,0,100,0.3,0.75
40,10,1,0.2,0.73,100,0,100,0.3,0.75
20,0,1,0.4,0,100,0,100,0.3,0.75
20,5,1,0.4,1,100,0,100,0.3,0.75
20,10,1,0.4,1,100,0,100,0.3,0.75
40,0,1,0.4,0.13,100,0,100,0.3,0.75
40,5,1,0.4,1,100,0,100,0.3,0.75
40,10,1,0.4,1,100,0,100,0.3,0.75